,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
33,33,2010,37,15320.70971453225,23666.983149972435,22.27175762805302,43.42417487596175,12.722609716929124,76.35243642290453,16.842836940629418,0.8892404304786559,0.3475467989741377,0.07430310874619496,41721,48.8746674336665,59.006255842381535,60.28858368687232,5.975408067879485,64.7345274953225,DEMOCRAT,NORTH CAROLINA,,0,54.084458586512255,43870.35,35.2654725046775,10.6889939722456,1
34,34,2010,38,12099.355463347163,18903.029045643158,23.76210235131397,39.97233748271093,12.282157676348548,94.66113416320886,0.5809128630705395,2.627939142461964,0.13831258644536654,0.0,3615,47.88381742738589,60.221300138312586,65.31120331950207,8.603042876901798,64.00749548726884,REPUBLICAN,NORTH DAKOTA,,0,74.66639594991938,52876.35,35.99250451273115,10.875711447937539,0
35,35,2010,39,15169.873208064424,23429.879947455596,22.40561996687418,44.143012165172195,12.064271707883565,88.91427265977498,7.430464332628934,0.18276315037980467,0.46833057284824947,0.09138157518990234,52527,49.25847659299027,54.49959068669446,59.46084870637958,4.9327012774382695,64.74584266792975,DEMOCRAT,OHIO,,0,55.619310766051306,43374.74,35.25415733207024,10.677632522994884,1
36,36,2010,40,12350.449299512436,21938.10985619947,24.19305066962908,43.245078071961984,13.127198666913534,77.99172992655681,4.752206381534283,7.5726717274578785,0.19749429118064557,0.07406035919274208,16203,47.040671480590014,51.39788927976301,62.16749984570758,8.19601308399679,56.29677935094456,REPUBLICAN,OKLAHOMA,,0,56.65212948675191,41037.9,43.70322064905544,10.622251308944799,0
37,37,2010,41,14689.513668036449,23373.34048001906,21.559168602227384,41.56393305937705,11.994520874277887,88.75588112679412,1.1732475731046395,1.1792031445417188,0.8397355726281936,0.3752010005360014,16791,48.865463641236374,61.31856351616938,59.90113751414448,6.717884581025549,62.847301097564255,DEMOCRAT,OREGON,2019.0,0,56.658225657921825,42771.55,37.152698902435745,10.663628440919679,1
38,38,2010,42,15413.911028089113,24569.12567455376,21.80884184308842,43.57444306074443,11.297910612979106,90.79147640791476,5.150823301508233,0.11588487615884877,0.46353950463539506,0.058807250588072506,57816,48.51425211014252,52.1239795212398,60.38293897882939,6.332157188321572,62.73691311715377,DEMOCRAT,PENNSYLVANIA,,0,56.010924361947055,47575.27,37.26308688284623,10.770068367397851,1
39,39,2010,44,18667.51318458418,25988.515212981743,22.920892494929006,43.59026369168357,9.71602434077079,87.80933062880325,3.8336713995943206,0.2028397565922921,0.6490872210953347,0.0,4930,50.0,61.86612576064909,54.17849898580122,5.253549695740365,71.82985650238075,DEMOCRAT,RHODE ISLAND,,0,55.63247988128965,46936.63,28.170143497619247,10.756553673048424,1
40,40,2010,45,14514.256281407035,22257.31608040201,23.597989949748744,43.537688442211056,11.71356783919598,74.67336683417085,21.34673366834171,0.33668341708542715,0.21105527638190955,0.03015075376884422,19900,49.34170854271357,56.35678391959799,58.15075376884422,5.698492462311558,65.21117024611567,REPUBLICAN,SOUTH CAROLINA,,0,50.85645640515237,35779.19,34.78882975388433,10.485121718461015,0
41,41,2010,46,11929.675451439727,18248.190336749634,22.49877989263055,41.703269887750125,13.958028306490972,94.60712542703757,0.43923865300146414,3.465104929233773,0.12201073694485115,0.0,4098,48.04782820888238,56.90580771107857,65.22693997071742,8.272327964860908,65.37456718332673,REPUBLICAN,SOUTH DAKOTA,,0,68.38272320394809,46378.49,34.62543281667326,10.74459105314283,0
42,42,2010,47,14382.81960956994,22523.5421253486,22.009393805959196,43.84632320563628,11.676207250843975,83.57551739321885,12.417437252311757,0.2568618816967562,0.32291207984735065,0.08806693086745927,27252,48.590929106120655,53.302509907529725,61.54410685454278,5.80140907089388,63.85682824453765,REPUBLICAN,TENNESSEE,,0,55.3189212901293,40560.79,36.14317175546235,10.610557115392938,0
43,43,2010,48,15109.22295789522,26608.760916479176,24.06722071720465,46.778088984801876,13.996969557830939,78.22397722576794,9.173056614169614,0.5840488544010285,0.7860783323384912,0.08907663345424492,108895,46.42821066164654,55.8152348592681,60.30671748014142,7.429174893245787,56.782888182282356,REPUBLICAN,TEXAS,,0,56.50351080982543,49359.24,43.21711181771765,10.806880261378074,0
44,44,2010,49,11777.392938496583,26209.91295151318,30.800520663846402,51.854864952814836,19.085584119752685,91.62870159453303,0.6589651806052718,0.683371298405467,0.4799869834038399,0.2847380410022779,12292,44.89098600715913,60.47022453628376,66.30328669053043,6.736088512853889,44.934880021479195,REPUBLICAN,UTAH,,0,58.398479793818076,42758.75,55.065119978520805,10.66332913178372,0
